x(m)	y(m)	Flux(W/m2)
0.216613	0.18	22771.4
0.218812	0.18	14064.7
0.00109956	0.3	12390.3
0.00329867	0.3	10381.1
0.00549779	0.3	5357.97
0.0076969	0.3	3683.6
0.00989602	0.3	1674.37
0.0120951	0.3	0
0.0142942	0.3	669.746
0.0164934	0.3	334.873
0.0186925	0.3	1004.62
0.0208916	0.3	334.873
0.0230907	0.3	334.873
0.0252898	0.3	334.873
0.0274889	0.3	1004.62
0.0296881	0.3	334.873
0.0318872	0.3	334.873
0.0340863	0.3	334.873
0.0362854	0.3	2009.24
0.0384845	0.3	1004.62
0.0406836	0.3	2009.24
0.0428827	0.3	669.746
0.0450819	0.3	669.746
0.047281	0.3	1674.37
0.0494801	0.3	1004.62
0.0516792	0.3	1339.49
0.0538783	0.3	669.746
0.0560774	0.3	2009.24
0.0582765	0.3	669.746
0.0604757	0.3	669.746
0.0626748	0.3	1339.49
0.0648739	0.3	0
0.067073	0.3	0
0.0692721	0.3	334.873
0.0714712	0.3	1674.37
0.0736704	0.3	1339.49
0.0758695	0.3	334.873
0.0780686	0.3	669.746
0.0802677	0.3	334.873
0.0824668	0.3	1339.49
0.0846659	0.3	1004.62
0.086865	0.3	669.746
0.0890642	0.3	334.873
0.0912633	0.3	669.746
0.0934624	0.3	669.746
0.0956615	0.3	0
0.0978606	0.3	669.746
0.10006	0.3	1674.37
0.102259	0.3	2009.24
0.104458	0.3	4688.22
0.106657	0.3	8706.7
0.108856	0.3	13729.8
0.111055	0.3	17748.3
0.113254	0.3	25115.5
0.115454	0.3	32482.7
0.117653	0.3	38175.5
0.119852	0.3	37505.8
0.122051	0.3	47217.1
0.12425	0.3	57933.1
0.126449	0.3	56258.7
0.128648	0.3	54584.3
0.130847	0.3	61951.5
0.133046	0.3	59607.4
0.135246	0.3	52575.1
0.137445	0.3	59607.4
0.139644	0.3	51235.6
0.141843	0.3	44538.1
0.144042	0.3	48221.7
0.146241	0.3	45207.9
0.14844	0.3	44873
0.150639	0.3	46547.4
0.152838	0.3	47552
0.155038	0.3	46882.2
0.157237	0.3	39180.2
0.159436	0.3	39849.9
0.161635	0.3	38510.4
0.163834	0.3	45877.6
0.166033	0.3	40184.8
0.168232	0.3	44873
0.170431	0.3	40184.8
0.172631	0.3	35831.4
0.17483	0.3	46882.2
0.177029	0.3	40184.8
0.179228	0.3	40184.8
0.181427	0.3	51905.3
0.183626	0.3	48891.5
0.185825	0.3	49226.4
0.188024	0.3	46882.2
0.190223	0.3	52240.2
0.192423	0.3	56258.7
0.194622	0.3	57933.1
0.196821	0.3	68649
0.19902	0.3	56593.6
0.201219	0.3	59272.6
0.203418	0.3	58602.8
0.205617	0.3	51570.5
0.207816	0.3	54584.3
